"","estado","ano","turno","situacao","quantidade","proporcao"
"234","R. G. do Sul",1998,1,"VALIDOS",5016906,0.732814720021408
"235","R. G. do Sul",2002,1,"VALIDOS",5903760,0.802998963974974
"236","R. G. do Sul",2002,2,"VALIDOS",5905463,0.803230597245237
"237","R. G. do Sul",2006,1,"VALIDOS",6206741,0.400404782453139
"238","R. G. do Sul",2006,2,"VALIDOS",6297574,0.406264535196901
"239","R. G. do Sul",2010,1,"VALIDOS",6405761,0.790098241762308
"240","R. G. do Sul",2010,2,"VALIDOS",6354968,0.783810621519934
"241","R. G. do Sul",2014,1,"VALIDOS",6367384,0.759357198235135
"242","R. G. do Sul",2014,2,"VALIDOS",6449815,0.769148531730851
"243","Rio de Janeiro",1989,1,"VALIDOS",7401503,0.903002569252638
"244","Rio de Janeiro",1989,2,"VALIDOS",7401503,0.903002569252638
"245","Rio de Janeiro",1994,1,"VALIDOS",6576308,0.72034607414989
"246","Rio de Janeiro",1998,1,"VALIDOS",6737388,0.675642083749924
"247","Rio de Janeiro",2002,1,"VALIDOS",8176005,0.800508208826773
"248","Rio de Janeiro",2002,2,"VALIDOS",8000576,0.783332050719448
"249","Rio de Janeiro ",2006,1,"VALIDOS",8322533,0.382072771341291
"250","Rio de Janeiro ",2006,2,"VALIDOS",7938771,0.364454936617718
"251","Rio de Janeiro ",2010,1,"VALIDOS",8545075,0.737656575837725
"252","Rio de Janeiro ",2010,2,"VALIDOS",8157968,0.704218030486597
"253","Rio de Janeiro ",2014,1,"VALIDOS",8340128,0.687310328129606
"254","Rio de Janeiro ",2014,2,"VALIDOS",8169271,0.673201257095099
"255","Rondônia",1989,1,"VALIDOS",386734,0.693343803392371
"256","Rondônia",1989,2,"VALIDOS",386734,0.693343803392371
"257","Rondônia",1994,1,"VALIDOS",409462,0.59165080837549
"258","Rondônia",1998,1,"VALIDOS",487529,0.583043821956782
"259","Rondônia",2002,1,"VALIDOS",628971,0.712678673608711
"260","Rondônia",2002,2,"VALIDOS",601330,0.681555178506865
"261","Rondônia",2006,1,"VALIDOS",731420,0.369915570116656
"262","Rondônia",2006,2,"VALIDOS",718133,0.36319567159031
"263","Rondônia",2010,1,"VALIDOS",789664,0.732290503622207
"264","Rondônia",2010,2,"VALIDOS",732873,0.679591655059987
"265","Rondônia",2014,1,"VALIDOS",827682,0.734736378630486
"266","Rondônia",2014,2,"VALIDOS",806404,0.71582240165036
"267","Roraima",1989,1,"VALIDOS",53797,0.736935110477939
"268","Roraima",1989,2,"VALIDOS",53797,0.736935110477939
"269","Roraima",1994,1,"VALIDOS",84714,0.706609502202055
"270","Roraima",1998,1,"VALIDOS",115896,0.67926386121205
"271","Roraima",2002,1,"VALIDOS",160017,0.767379294469701
"272","Roraima",2002,2,"VALIDOS",158779,0.761442327981431
"273","Roraima",2006,1,"VALIDOS",189022,0.404591688213839
"274","Roraima",2006,2,"VALIDOS",173822,0.372056884535694
"275","Roraima",2010,1,"VALIDOS",222621,0.819677020280122
"276","Roraima",2010,2,"VALIDOS",213176,0.7848808739226
"277","Roraima",2014,1,"VALIDOS",249590,0.833603307827702
"278","Roraima",2014,2,"VALIDOS",236806,0.790885013977069
"279","Santa Catarina",1989,1,"VALIDOS",2411062,0.883200069159637
"280","Santa Catarina",1989,2,"VALIDOS",2411062,0.883200069159637
"281","Santa Catarina",2006,1,"VALIDOS",3337622,0.400338971259411
